	sample.name	Sample.Name	Protocol.REF_x	Parameter.Value.Post.Extraction.	Parameter.Value.Derivatization.	Extract.Name	Protocol.REF.1	Parameter.Value.Chromatography.Instrument.	Term.Source.REF_x	Term.Accession.Number_x	Parameter.Value.Column.model.	Parameter.Value.Column.type.	Labeled.Extract.Name	Label	Term.Source.REF.1_x	Term.Accession.Number.1_x	Protocol.REF.2	Parameter.Value.Scan.polarity.	Parameter.Value.Scan.m.z.range.	Parameter.Value.Instrument.	Term.Source.REF.2_x	Term.Accession.Number.2_x	Parameter.Value.Ion.source.	Term.Source.REF.3_x	Term.Accession.Number.3_x	Parameter.Value.Mass.analyzer.	Term.Source.REF.4_x	Term.Accession.Number.4_x	MS.Assay.Name	Raw.Spectral.Data.File	Protocol.REF.3	Normalization.Name	Derived.Spectral.Data.File	Protocol.REF.4	Data.Transformation.Name	Metabolite.Assignment.File	Source.Name	Characteristics.Organism.	Term.Source.REF_y	Term.Accession.Number_y	Characteristics.Variant.	Term.Source.REF.1_y	Term.Accession.Number.1_y	Characteristics.Organism.part.	Term.Source.REF.2_y	Term.Accession.Number.2_y	Protocol.REF_y	Factor.Value.feeding.	Term.Source.REF.3_y	Term.Accession.Number.3_y	Factor.Value.tissue.source.	Term.Source.REF.4_y	Term.Accession.Number.4_y	Factor.Value.genotype.	Term.Source.REF.5	Term.Accession.Number.5	Factor.Value.replicate.	Term.Source.REF.6	Term.Accession.Number.6
31	SRC.2....Fed_rep2_liver.1	SRC-2+/+ Fed_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2+/+ Fed_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src2 wild-type			2		
32	SRC.2....Fed_rep3_liver.1	SRC-2+/+ Fed_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2+/+ Fed_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src2 wild-type			3		
33	SRC.2....Fed_rep4_liver.1	SRC-2+/+ Fed_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2+/+ Fed_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src2 wild-type			4		
34	SRC.2....Fed_rep5_liver.1	SRC-2+/+ Fed_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2+/+ Fed_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src2 wild-type			5		
35	SRC.2....Fasted_rep1_liver.1	SRC-2+/+ Fasted_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2+/+ Fasted_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src2 wild-type			1		
36	SRC.2....Fasted_rep2_liver.1	SRC-2+/+ Fasted_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2+/+ Fasted_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src2 wild-type			2		
37	SRC.2....Fasted_rep3_liver.1	SRC-2+/+ Fasted_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2+/+ Fasted_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src2 wild-type			3		
38	SRC.2....Fasted_rep4_liver.1	SRC-2+/+ Fasted_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2+/+ Fasted_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src2 wild-type			4		
39	SRC.2....Fasted_rep5_liver.1	SRC-2+/+ Fasted_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-2+/+ Fasted_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src2 wild-type			5		
40	SRC.3....Fed_rep1_liver	SRC-3-/- Fed_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fed_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src3 knockout			1		
41	SRC.3....Fed_rep2_liver	SRC-3-/- Fed_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fed_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src3 knockout			2		
42	SRC.3....Fed_rep3_liver	SRC-3-/- Fed_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fed_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src3 knockout			3		
43	SRC.3....Fed_rep4_liver	SRC-3-/- Fed_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fed_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src3 knockout			4		
44	SRC.3....Fed_rep5_liver	SRC-3-/- Fed_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fed_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src3 knockout			5		
45	SRC.3....Fasted_rep1_liver	SRC-3-/- Fasted_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fasted_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 knockout			1		
46	SRC.3....Fasted_rep2_liver	SRC-3-/- Fasted_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fasted_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 knockout			2		
47	SRC.3....Fasted_rep3_liver	SRC-3-/- Fasted_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fasted_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 knockout			3		
48	SRC.3....Fasted_rep4_liver	SRC-3-/- Fasted_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fasted_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 knockout			4		
49	SRC.3....Fasted_rep5_liver	SRC-3-/- Fasted_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3-/- Fasted_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 knockout			5		
50	SRC.3....Fed_rep1_liver.1	SRC-3+/+ Fed_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fed_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection 	fed			liver			Src3 wild-type			1		
51	SRC.3....Fed_rep2_liver.1	SRC-3+/+ Fed_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fed_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src3 wild-type			2		
52	SRC.3....Fed_rep3_liver.1	SRC-3+/+ Fed_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fed_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src3 wild-type			3		
53	SRC.3....Fed_rep4_liver.1	SRC-3+/+ Fed_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fed_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src3 wild-type			4		
54	SRC.3....Fed_rep5_liver.1	SRC-3+/+ Fed_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fed_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fed			liver			Src3 wild-type			5		
55	SRC.3....Fasted_rep1_liver.1	SRC-3+/+ Fasted_rep1_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fasted_rep1_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 wild-type			1		
56	SRC.3....Fasted_rep2_liver.1	SRC-3+/+ Fasted_rep2_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fasted_rep2_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 wild-type			2		
57	SRC.3....Fasted_rep3_liver.1	SRC-3+/+ Fasted_rep3_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fasted_rep3_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 wild-type			3		
58	SRC.3....Fasted_rep4_liver.1	SRC-3+/+ Fasted_rep4_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fasted_rep4_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 wild-type			4		
59	SRC.3....Fasted_rep5_liver.1	SRC-3+/+ Fasted_rep5_liver	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-3+/+ Fasted_rep5_liver		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	liver	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	liver	BTO	http://purl.obolibrary.org/obo/BTO_0000759	Sample collection	fasted			liver			Src3 wild-type			5		
60	SRC.1....Fed_rep1_heart	SRC-1-/- Fed_rep1_heart	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fed_rep1_heart		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	heart	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Sample collection	fed			heart			Src1 knockout			1		
61	SRC.1....Fed_rep2_heart	SRC-1-/- Fed_rep2_heart	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fed_rep2_heart		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	heart	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Sample collection	fed			heart			Src1 knockout			2		
62	SRC.1....Fed_rep3_heart	SRC-1-/- Fed_rep3_heart	Extraction				Chromatography	Thermo Scientific TRACE GC Ultra			DB-5 GC (1 µm, 0.25 mm x 15 m; Agilent Technologies)	low polarity					Mass spectrometry	positive		Thermo Scientific TRACE DSQ			electron ionization	MS	http://purl.obolibrary.org/obo/MS_1000389	quadrupole	MS	http://purl.obolibrary.org/obo/MS_1000081	SRC-1-/- Fed_rep3_heart		Data transformation			Metabolite identification		m_york_src_GC_mass_spectrometry_v2_maf.tsv	heart	Mus musculus	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/10090	C57BL/6J	EFO	http://www.ebi.ac.uk/efo/EFO_0000606	heart	BTO	http://purl.obolibrary.org/obo/BTO_0000562	Sample collection	fed			heart			Src1 knockout			3		
